 ID,SHA256,APT-group,Country,attack_sequence
176,7e732e41d93b613cac1ba979d7f7c98c8603f65a50bbf6b6198f1ee396dc7174,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
183,08d0eb1b10cdc8b5ba6d87d7b330fb69791f5e64b528feed19fc25a969a4034c,APT1,China,"['T1059', 'T1047', 'T1105']"
184,325b2fb59e50a5a65fa00dde4b49d285813d15c40ddb61c2d8a5f13cc1f6f0dc,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
188,fc99a95e7c6a2417e4101e51e25fabb333928cf542517e6da4f761b352f7389e,APT1,China,"['T1059', 'T1105', 'T1086']"
190,01114c2b1212524c550bbae7b2bf9750aba70c7c98e2fda13970e05768d644cf,APT1,China,"['T1086', 'T1105', 'T1059']"
191,010f36d6b66747e906c8f7025df1e154ceabc598f9c1d91357a97f89af0c0cda,APT1,China,"['T1047', 'T1059', 'T1105', 'T1086']"
193,90072aabe5a0438f0e58bce82b4cc294655887465573d934f7c03b5851c0676e,APT1,China,"['T1086', 'T1059', 'T1105']"
194,9ec9221f685b446874bb6dfc5509b4304f8d8b78b10fa3b8ba06cf4f505c0f84,APT1,China,"['T1086', 'T1105', 'T1047']"
195,bdc8f78ad67cdec5cb5faddf2a1e79947ea83f0b69f767e4a72174f400e9e1c9,APT1,China,"['T1047', 'T1059', 'T1086']"
198,ad58ace8fa83d04af57aad608b2aa1b629ce7bcd373934ab84fe608397061ddc,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
199,23a088534df708b9e9aee355e94575196dc6258bd58ae6c19db7deec8ee6dc0d,APT1,China,"['T1086', 'T1059', 'T1105']"
203,4b1a437fbe161b0f1dd4d9eca647b4b82f89e810f6eedef0c4f9176c89d0fea6,APT1,China,"['T1059', 'T1047', 'T1105', 'T1086']"
204,de750c840a4140d3c980c9a0c6d34e12498f13b9a690d5d0e09037c7bedf00c5,APT1,China,"['T1086', 'T1047', 'T1059', 'T1105']"
206,082323fd0f3d24f8fe31895ad1246ae2116aee78d01be83a28c3cbb856541003,APT1,China,"['T1047', 'T1105', 'T1086']"
208,f6b90315124d45c925812d043f5a98c8f9625449c312f22b3b64f5afc6dbf7ee,APT1,China,"['T1059', 'T1047', 'T1086', 'T1105']"
219,468bef292236e98a053333983f7094f64551a05509837c775fa65fdb785ca95a,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
220,415a49754486b222b7a38355988c17fcbd671109020c67109aefca2f90d7ef41,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
221,f40ca2de6f1010a3cde815635cf5e1898095d97d27ca7b03abc9a76ab8a678ec,APT1,China,"['T1105', 'T1086', 'T1059', 'T1047']"
223,62082c6af516080115a3a2a255c89775529e63c57bc2441c89272de438427bd2,APT1,China,"['T1086', 'T1059', 'T1047']"
224,cca3eee2650d20cf1bf50b76e7f97a3b0e26caff3af8546462c92f2e73d730f9,APT1,China,"['T1047', 'T1105', 'T1086']"
227,bead710db3df029cb39f9ad8a42620d05c44ee45a6fc80bdc9f75684954cd55f,APT1,China,"['T1086', 'T1105', 'T1047']"
229,563d94123f459e99dea894d79d707eede2a9f67fc044c4340f869e99606d1d85,APT1,China,"['T1086', 'T1105', 'T1047']"
230,5b2d2de9a95add2b71f3a9aa6c02fa56555b7d58270fd073384187f52b76a603,APT1,China,"['T1086', 'T1047', 'T1105', 'T1059']"
232,6ad91e399eca4253b5871954aa23cf63b6ea2338a9e5c57e18cead0ab4b485c1,APT1,China,"['T1105', 'T1086', 'T1047']"
236,a3f009c02100036191b2211784c843da2ea9f3622ed45cb7e6a57ca835f9a933,APT1,China,"['T1086', 'T1047', 'T1059']"
238,d344b132097288f944aa9bb57835f135f60615438bc94e2a232dee308a21805a,APT1,China,"['T1086', 'T1059', 'T1047', 'T1105']"
239,1e3732e455592c5cd6e787cbba24217856f3156c65b9cba444b258e4414039a7,APT1,China,"['T1105', 'T1047', 'T1059', 'T1086']"
241,ad5ce793bea64ed9a416236d1e4b99b021a771e5d57a46b97cf1e288e5617132,APT1,China,"['T1059', 'T1047', 'T1086']"
246,75f0072a6c408cdc30190ed534d7503906881d958504d1d11634c3677dbaf623,APT1,China,"['T1047', 'T1086', 'T1105']"
247,bd9146a2dfb87cbb8b301917a21dbaa8a7de344f7dffd3899b74fe86eaf43350,APT1,China,"['T1047', 'T1059', 'T1086']"
251,f76dd93b10fc173eaf901ff1fb00ff8a9e1f31e3bd86e00ff773b244b54292c5,APT1,China,"['T1047', 'T1105', 'T1059']"
252,1877a5d2f9c415109a8ac323f43be1dc10c546a72ab7207a96c6e6e71a132956,APT1,China,"['T1105', 'T1086', 'T1059', 'T1047']"
254,7635c901f7806d2333b5e67ddbccef56f777bcf12b083a4425ba29373159eb06,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
257,98b6371c901856a12d1c6295c4026f93747d133f4e4969989d8de83fe9d6418f,APT1,China,"['T1105', 'T1059', 'T1086']"
260,4c157d7f94ac5a4c7bcf4782508a766b296c52b4df34cf94cc006fc613dc57e9,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
261,1fad1fd0a49b4677b6648008f8ddc8c8dc6483ee3c797e938d3637eb8b4ce3b4,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
262,0f3934bb63dbe92b025a3d41fc1b3c6fda1da9fbd83bede76b8e99aee87f036b,APT1,China,"['T1105', 'T1059', 'T1047', 'T1086']"
268,de84c76339acba549fd4c05be0dafd875660a37254bfb8d6b64812b2a03c3ac7,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
269,dd52dd9975e9416fd24d4230c84fa82e1edbdfee75670486d5a38ef9cc042960,APT1,China,"['T1086', 'T1047', 'T1059']"
270,b13eb0eb3cddf1b2c22232952aa30c1f2b5c59e72c9626e9fbd52882cfc03a32,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
275,6ad0190caa69dc0d662088f86aab7ee3355e788b1196552dd7487f6052150d8e,APT1,China,"['T1047', 'T1059', 'T1086']"
277,ab3ee0f2914deb0098a2cbf756cf0fa06db71427a8c9b18a72942ef41014543e,APT1,China,"['T1047', 'T1086', 'T1059', 'T1105']"
278,45985ca9eb04546745cec575d95b1684adc71130d1e0a8db2e36ad6d8df8b2a8,APT1,China,"['T1105', 'T1047', 'T1086', 'T1059']"
279,98fe63c98c8865781a7ef52b8b105dd3eeb444dfe3242468af0211eadd4076a5,APT1,China,"['T1047', 'T1105', 'T1086']"
284,3d40846f4e20e2ca1dbab1a480a6ed9987f2c236b289122d606ecfac3299e299,APT1,China,"['T1105', 'T1047', 'T1059']"
287,23e687a00f3cf28d58a7d4c0476c3d6c4b0c1eff82286b412164f2798caec1ff,APT1,China,"['T1086', 'T1047', 'T1105', 'T1059']"
288,25f3aa7489eccce3fdd84b62d0285885f413b1d9696a947842a1b5581f25816a,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
290,1b38d04868500ab8941e927a3cbe5b67963828abdfc580b684ceeffba9ea30c1,APT1,China,"['T1105', 'T1047', 'T1086']"
292,a834ac7940783110c1fffef4963e88fea547b5d56a57927cf754b50f5f001d79,APT1,China,"['T1105', 'T1059', 'T1086']"
300,8edfaade7dff71f46a20709abf21f543371de0ee61be7b6cec7817d8a170886a,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
304,5d6729f5079b61a685bf5091f7009609b55d771dc0ca2a3dfe9cbb3d3b576584,APT1,China,"['T1047', 'T1059', 'T1105', 'T1086']"
305,e458031e9cee02dc4b7a9404d6dd3fcce5169ab13ca3e915357d45816af4e9f2,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
306,f3b82f2c80c2ea5496407200bab1cc04f3679b80c74608aa03bfae37e62f992e,APT1,China,"['T1086', 'T1047', 'T1105', 'T1059']"
307,ec7091913a753578f7485f6c22b73457c47862443fd4fe62709471aea1c8614b,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
308,8cde65e4091da0b5e51df00ac2fd604c89e3256f372a8757c94910228f90ce6c,APT1,China,"['T1059', 'T1086', 'T1105']"
313,ffaf09da6b9f31e8da677c351f73a0f53e326ba2ff2e59ff47d9814931463cb8,APT1,China,"['T1047', 'T1059', 'T1086']"
315,3aecfdeb8e233fccec5f899c280d78fa8e47a3c4a02715fbe4881bb0cd7f914a,APT1,China,"['T1047', 'T1059', 'T1105']"
318,02601a267fe980aed4db8ac29336f7ecf1e06f94e9ac0714e968b64586624898,APT1,China,"['T1047', 'T1105', 'T1086']"
319,558e7b6df77b986f4213a39ea5aee28f56cc2110277746d08bb65e52256d1cf9,APT1,China,"['T1047', 'T1086', 'T1059', 'T1105']"
320,7fb1a6f23d30495ad7367d38aa763f36701cbc476c868fc9d37a946e9bc26d53,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
321,051f9ff45c531ad265489f563e6babca55f4a3f94604ff56e37140743f30badc,APT1,China,"['T1105', 'T1086', 'T1059', 'T1047']"
322,bfbc50ce93a2610ec5be137d07ee1b47b2511d3802771541c8842e2f3a908c23,APT1,China,"['T1059', 'T1086', 'T1047']"
323,3d70e03b2da89a1aec0685c23a53d516a98e8df3e8a055a74e509389c107e3fe,APT1,China,"['T1059', 'T1047', 'T1086']"
324,b96d6e1cad06cab3424679278f862cecb6fce0e9f9e1453fbbb750688a3af0a6,APT1,China,"['T1059', 'T1086', 'T1047', 'T1105']"
330,4fe6757544c655c0228ca9fbcdb3e197cd921e1e12776f5ad391cb9ac32d3667,APT1,China,"['T1105', 'T1059', 'T1047', 'T1086']"
331,efce8c3f7dd1ee2b6c40fd84909e5d423bd75a908b546fdba7ef73480eea2871,APT1,China,"['T1047', 'T1105', 'T1059', 'T1086']"
332,15de4fe75553f2485e8580ab7dd29e339eeb96ed2031491cf4beb82ab64d4179,APT1,China,"['T1105', 'T1047', 'T1086', 'T1059']"
333,e0d38aa12eb358af304eba93ad8c0a6ade33aae74480368943657729fc6c1213,APT1,China,"['T1059', 'T1047', 'T1086']"
335,4c930517f6ff6da9bf7b988c29391d271907dc4b193a64b9a7deba84de0e9cda,APT1,China,"['T1105', 'T1086', 'T1047']"
338,72e01e875b93e6808e8fff0e8a8f19b842ed213a9fcb38c175f6e8533af57d51,APT1,China,"['T1059', 'T1047', 'T1086', 'T1105']"
346,1cc1a6f131617e0a15380e327e96d903ba4512dca45b63b9a456751495ede76c,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
348,29e4ce1a13b7a36da042686f2ded101f230407b8641f5b07fd8628e30c64f657,APT1,China,"['T1086', 'T1105', 'T1059', 'T1047']"
349,91645ee88782a4d51ba2b6ee0c52e089facdfe8fea8f8c21fe35457f90a1437c,APT1,China,"['T1047', 'T1086', 'T1105']"
353,c23039cf2f859e659e59ec362277321fbcdac680e6d9bc93fc03c8971333c25e,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
354,f94eb96f380a47bac95cb453e690ca78ae9ae1d078fbe2a433635a63bb73785b,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
355,0fbb47373b8bbefdfd9377dc26b6418d2738e6f688562885f4d2a1a049e4948e,APT1,China,"['T1047', 'T1105', 'T1086', 'T1059']"
356,e9d191e5a9565068627795d74eb6605f3878b6c5655955f72f69dffa5076e495,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
358,751f34b13e526b2acc3a9a855bff71ff47131f7b1ac01b29f83c1ebe8a465f9a,APT1,China,"['T1086', 'T1047', 'T1105', 'T1059']"
363,3d3da3e3c062b5b73de6dac3cef8a90c4c7eed5622dafdd9a47ea35af9056297,APT1,China,"['T1047', 'T1105', 'T1059']"
364,20ed6218575155517f19d4ce46a9addbf49dcadb8f5d7bd93efdccfe1925c7d0,APT1,China,"['T1047', 'T1059', 'T1105']"
366,98f400cceed112792e562728a4d66c7c18712684f4729014dbf6fdee2931eeb9,APT1,China,"['T1086', 'T1059', 'T1105', 'T1047']"
367,0f02aa21695855562f0060147f656942c920a091472710deeb59d9511d22e492,APT1,China,"['T1086', 'T1059', 'T1047']"
368,cdd8a430ab5bf32bb8f830f66d618ee503854088af7d66afee2af898106ea32a,APT1,China,"['T1047', 'T1105', 'T1059']"
369,6929c66312fce3ba740040dc0f0d98ce33fd0ef777930d8b69d9cddf19491e60,APT1,China,"['T1086', 'T1105', 'T1059']"
371,a722e569e19174d0767b0f4a4ab1e20a7159ba81820ad7405c0871d64ef1f551,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
373,00be6858156b0be404b4fa4852ffc550c25565236beaa4cb13ffe288bcb48d8e,APT1,China,"['T1105', 'T1047', 'T1059', 'T1086']"
374,2c5dd8a64437cb2dd4b6747139c61d2d7f53ab3ddedbf22df3cb01bae170715b,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
379,14a22f11c0121492cfabc529bcffecda5d076e79e459a87b87e6db7c20b6c89d,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
380,3b0840daca0bb4f377c8f58b53015335a17b7b5e2a5afd5c029b227bee24d0c7,APT1,China,"['T1086', 'T1059', 'T1105']"
381,d1422fbd553cf90fdbc8b5f8310aa4cbf88a934848a12af52fb2314f06f67d9e,APT1,China,"['T1105', 'T1086', 'T1059']"
383,466bb7da773c7c200f87a8a06f143c6c6856e9ebc4347eb4afb096104bcd97b4,APT1,China,"['T1105', 'T1047', 'T1086', 'T1059']"
385,a747aab7d9fa397b28db3b7fbec771ce9b296fc701cc98be6b2d0e44364ce3e6,APT1,China,"['T1059', 'T1086', 'T1105', 'T1047']"
388,bc8240025774f08a16e58dcdfab87e9a2b46cfda2a1fc23e21d33ff812b7e849,APT1,China,"['T1086', 'T1105', 'T1059']"
391,084bf047a5586989b21be860eb95f7880536a78a2b51f7502e0e112eeb41dcaa,APT1,China,"['T1047', 'T1059', 'T1086']"
392,eab9cdf4ac3c0f58714a6e7117a7fcd1ea177e216701161009e5e8c94f31d43a,APT1,China,"['T1059', 'T1047', 'T1086']"
398,a1e92e2e84a1321f499a5ec500e8b9a9c0ca28701668bf13ea56d3995a96153f,APT1,China,"['T1086', 'T1059', 'T1105', 'T1047']"
400,fb89aa6bec5caf7d2b6a2e80b90f65642c9de6468ef9ca56c91e1eaca9a2399b,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
402,f9f2ac8167051aa7d2c38044cbbbd5542dd4901593aa0dcfe1a6ea9a92850da7,APT1,China,"['T1105', 'T1059', 'T1086']"
404,a47e5864134d5b3f2b5e6730acbd8bdc4d2f0b1adb815837995cbf1c7fbb8a0b,APT1,China,"['T1086', 'T1059', 'T1105']"
405,a6e5efa37844095faea5667fd42c669b9afec588daa8c038097ddd36a44beca1,APT1,China,"['T1047', 'T1105', 'T1086']"
406,e94717fcd6f21d121cbb128feec269cc6b82b7c36b224ae04d67ea3713442927,APT1,China,"['T1059', 'T1047', 'T1086', 'T1105']"
409,c196cac319e5c55e8169b6ed6930a10359b3db322abe8f00ed8cb83cf0888d3b,APT1,China,"['T1105', 'T1047', 'T1059', 'T1086']"
410,6ab1ed77ef16f5babf2636420604244b782f62253ffc1173fce8754b9c0c98d3,APT1,China,"['T1086', 'T1105', 'T1047', 'T1059']"
412,3e49de7fbfb33c3ae715f948cf1f65d1eae5f4527c2b423be886fe7194fc5c34,APT1,China,"['T1047', 'T1086', 'T1059']"
413,c833d8dd82658cf7507342036d39d9897dab74807389547b46c869b361355b27,APT1,China,"['T1059', 'T1105', 'T1047', 'T1086']"
416,708840e33fe6632ba75fcf86564e0a2ece4f7b265390afe15aa5ae383a917e65,APT1,China,"['T1047', 'T1086', 'T1105', 'T1059']"
419,e3edf761708cbf1947d6f317ad446c3062b11c815f6189912e7dc28006603090,APT1,China,"['T1105', 'T1047', 'T1086']"
421,478c29a4370717d2304e88920b68d6f219d96724d5393b9026553723243a03fe,APT1,China,"['T1086', 'T1105', 'T1059', 'T1047']"
426,025c784b8c2d6135d11cb551cb84645ecc0fb02ec8fd8f2612babd28601e67cd,APT1,China,"['T1105', 'T1086', 'T1047', 'T1059']"
427,36f45a42ebf2de6962db92aaf8845d7f9fd6895bedc31422adcf31c59a79602d,APT1,China,"['T1059', 'T1047', 'T1105', 'T1086']"
430,65d25a86feb6d15527e398d7b5d043e7712b00e674bc6e8cf2a709a0c6f9b97b,APT1,China,"['T1086', 'T1059', 'T1047', 'T1105']"
433,d8aa8a0d742378829d652e7bc112657fe5b981ced2ac8c7a66745fde52a7800c,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
435,57d36df3de6bca69ac81f700ba5d7c36e6c45d236f29fb250783cb509977b4a9,APT1,China,"['T1105', 'T1059', 'T1086', 'T1047']"
436,7f489a9493c233018342defc7e9140e1c8b6ecdc9d0baa31c9c0ee62c844272d,APT1,China,"['T1086', 'T1047', 'T1105']"
439,8c3f24599f9c46c5aff0c1e7fb4fe6777239221bbb66488f7cba1049985989fb,APT1,China,"['T1059', 'T1086', 'T1105']"
441,23594bf1d2c5ecc3c3c7555c72632037b21b02f9d4a6be64518840864e745078,APT1,China,"['T1086', 'T1105', 'T1059']"
442,d9f7859584070cd1d978d0d61c910b58489696807b714d56241c9f633b3785f7,APT1,China,"['T1059', 'T1105', 'T1086', 'T1047']"
443,369b9dcfa2430d63e91b03f5d1330e67e78ae3fd197f64f6518a1b4191c08cad,APT1,China,"['T1047', 'T1105', 'T1086']"
447,84b29ed3245ad67365a7123e796f6d6ee7ab440c67efd3b911fef4061b2896f7,APT1,China,"['T1105', 'T1047', 'T1086', 'T1059']"
